case,category,consumer_number,digits,amount_pkr,database_status,due_date,expected_response_code,expected_bill_status,actual_response_code,actual_bill_status,verification,application_id,bill_id
UNPAID-SLAB-1-A,Unpaid provisional slab 1,10517210010000000001,20,100.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-01-UNPAID-SLAB-1-A,ORG-UAT-001
UNPAID-SLAB-1-B,Unpaid provisional slab 1,10517210010000000002,20,100.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-02-UNPAID-SLAB-1-B,ORG-UAT-002
UNPAID-SLAB-2-A,Unpaid provisional slab 2,10517210010000000003,20,500.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-03-UNPAID-SLAB-2-A,ORG-UAT-003
UNPAID-SLAB-2-B,Unpaid provisional slab 2,10517210010000000004,20,500.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-04-UNPAID-SLAB-2-B,ORG-UAT-004
UNPAID-SLAB-3-A,Unpaid provisional slab 3,10517210010000000005,20,1000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-05-UNPAID-SLAB-3-A,ORG-UAT-005
UNPAID-SLAB-3-B,Unpaid provisional slab 3,10517210010000000006,20,1000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-06-UNPAID-SLAB-3-B,ORG-UAT-006
UNPAID-SLAB-4-A,Unpaid provisional slab 4,10517210010000000007,20,5000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-07-UNPAID-SLAB-4-A,ORG-UAT-007
UNPAID-SLAB-4-B,Unpaid provisional slab 4,10517210010000000008,20,5000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-08-UNPAID-SLAB-4-B,ORG-UAT-008
UNPAID-SLAB-5-A,Unpaid provisional slab 5,10517210010000000009,20,10000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-09-UNPAID-SLAB-5-A,ORG-UAT-009
UNPAID-SLAB-5-B,Unpaid provisional slab 5,10517210010000000010,20,10000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-10-UNPAID-SLAB-5-B,ORG-UAT-010
UNPAID-SLAB-6-A,Unpaid provisional slab 6,10517210010000000011,20,50000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-11-UNPAID-SLAB-6-A,ORG-UAT-011
UNPAID-SLAB-6-B,Unpaid provisional slab 6,10517210010000000012,20,50000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-12-UNPAID-SLAB-6-B,ORG-UAT-012
UNPAID-SLAB-7-A,Unpaid provisional slab 7,10517210010000000013,20,100000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-13-UNPAID-SLAB-7-A,ORG-UAT-013
UNPAID-SLAB-7-B,Unpaid provisional slab 7,10517210010000000014,20,100000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-14-UNPAID-SLAB-7-B,ORG-UAT-014
PAID-A,Paid,10517210010000000015,20,2500.00,paid,2026-08-28,00,P,00,P,PASS,1BILL-UAT-15-PAID-A,ORG-UAT-015
PAID-B,Paid,10517210010000000016,20,7500.00,paid,2026-08-28,00,P,00,P,PASS,1BILL-UAT-16-PAID-B,ORG-UAT-016
AFTER-DUE-DATE,After due date,10517210010000000017,20,1500.00,pending,2026-09-05,00,U,00,U,PASS,1BILL-UAT-17-AFTER-DUE-DATE,ORG-UAT-017
BLOCKED-A,Blocked,10517210010000000018,20,3000.00,failed,2026-10-07,02,B,02,B,PASS,1BILL-UAT-18-BLOCKED-A,ORG-UAT-018
BLOCKED-B,Blocked,10517210010000000019,20,3000.00,failed,2026-10-07,02,B,02,B,PASS,1BILL-UAT-19-BLOCKED-B,ORG-UAT-019
CONSUMER-24-DIGIT,24-digit unpaid consumer,105172100100000000000020,24,2000.00,pending,2026-10-07,00,U,00,U,PASS,1BILL-UAT-20-CONSUMER-24-DIGIT,ORG-UAT-020
